id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
37,0119-007872200001,"MAIN DISTRIBUTION PANEL","BARCODE NOT FOUND
EE ROOM","ELEC. INTS. & EQPT.","PANEL BOARD","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624413949.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624413949.jpg,"2026-08-25 10:19:31 AM"
38,,"SMA SOLAR INVERTER","2 UNIT
NO BARCODE
EE ROOM","ELEC. INTS. & EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624561256.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624561256.jpg,"2026-08-25 10:21:18 AM"
39,,"TUNGHO GOLDEN AGAIN KNAPSACK","2 UNITS 
DAMAGED
NO BARCODE
EE ROOM","OTHER EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624716187.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624716187.jpg,"2026-08-25 10:23:47 AM"
40,,"SUNTREE PV COMBINER BOX","12 UNITS
NO BARCODE
SOLAR PANEL AREA","ELEC. INTS. & EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787624838228.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787624838228.jpg,"2026-08-25 10:27:07 AM"
41,,"CAT SOLAR PANEL MODEL#:PVT117 4V3","1,089 UNITS
NO BARCODE
SOLAR PANEL AREA","ELEC. INTS. & EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625579301.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625579301.jpg,"2026-08-25 10:35:44 AM"
42,,"SUBMERSIBLE PUMP 5HP","2 UNITS
NO BARCODE
SOLAR PANEL AREA","OTHER EQPT.","WATER PUMP","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787625699291.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787625699291.jpg,"2026-08-25 10:40:20 AM"
43,0119-0012356400001,"GOULDS SUBMERSIBLE PUMP 3GS50 PUMP ONLY","2 UNITS 
DAMAGED
NEW BARCODE
POWER HOUSE AREA","ELEC. INTS. & EQPT.",PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626582938.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626582938.jpg,"2026-08-25 10:54:28 AM"
44,0119-0012356300001,"SUBMERSIBLE MOTOR 5HP FRANKLIN 3P FR43M5123013","DAMAGED
NEW BARCODE
POWER HOUSE AREA","ELEC. INTS. & EQPT.","MACHINE MOTOR","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626658582.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626658582.jpg,"2026-08-25 10:56:26 AM"
45,MFI-DBL-00107702,"CATERPILLAR GENERATOR SET SN:JSY00579","OLD BARCODE
POWERHOUSE AREA","MACH. & EQPT.",GENERATOR,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787626957794.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787626957794.jpg,"2026-08-25 11:01:07 AM"
46,MFI-BDL-00109598,"WULI POWER SPRAYER 2HP M#:WL25ASBC","OLD BARCODE
POWERHOUSE AREA","OFF. EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787627095479.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787627095479.jpg,"2026-08-25 11:03:06 AM"
