barcode,desc,acost,adate,cat_type,locname,dept
0033-0000004300005  ,GASUL TANK                                                  ,2000      ,09/05/2024,                                                  ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0000408400001  ,WHEEL CHAIR                                                 ,6028      ,08/28/2024,CHAIR                                             ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0003304400001  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-CREDIT DEPARTMENT                   
0033-0007900100001  ,EPSON L3210 ALL-IN-ONE PRINTER (PRINT/SCAN/COPY)            ,7848.22000,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-CREDIT DEPARTMENT                   
0033-0010134300001  ,EPSON L3210 AIO PRINTER                                     ,7848.21000,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-ENGINEERING DEPARTMENT              
0033-0003304400002  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0033-0003304400003  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-MIS                                 
0033-0003304400004  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0003304400005  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0003304400006  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-FIXED ASSET DEPARTMENT              
0033-0006660200001  ,DOCUMENT SCANNER EPSON WORKFORCE DS-1630 COLOR              ,21424.1100,09/10/2024,SCANNER                                           ,COLONNADE MOHON               ,TALISAY MOHON-FIXED ASSET DEPARTMENT              
0033-0003304400007  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-HUMAN RESOURCE DEPARTMENT           
0033-0006660200002  ,DOCUMENT SCANNER EPSON WORKFORCE DS-1630 COLOR              ,21424.1000,09/10/2024,SCANNER                                           ,COLONNADE MOHON               ,TALISAY MOHON-HUMAN RESOURCE DEPARTMENT           
0033-0010134300002  ,EPSON L3210 AIO PRINTER                                     ,7848.21000,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-HUMAN RESOURCE DEPARTMENT           
0033-0003304400008  ,PRINTER EPSON LQ310 USB/PARALLEL                            ,13388.3900,09/10/2024,PRINTER                                           ,COLONNADE MOHON               ,TALISAY MOHON-INFORMATION TECHNOLOGY              
0033-0006660200003  ,DOCUMENT SCANNER EPSON WORKFORCE DS-1630 COLOR              ,21424.1000,09/10/2024,SCANNER                                           ,COLONNADE MOHON               ,TALISAY MOHON-MIS                                 
