barcode,desc,acost,adate,cat_type,locname,dept
0116-0007135400004  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400005  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400006  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400007  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400008  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135400009  ,BOOTS RACK (8 PAIRS CAP)                                    ,2840   ,05/07/2013,RACK                                              ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135500001  ,WOODEN CABINET .40X.70X1.30M                                ,6860.82,08/26/2014,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0007135500002  ,WOODEN CABINET .40X.70X1.30M                                ,6860.82,08/26/2014,CABINET-WOODEN                                    ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300011  ,STEEL DOUBLE DECK                                           ,5500   ,09/30/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300012  ,STEEL DOUBLE DECK                                           ,5500   ,09/30/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300013  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300014  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300015  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300016  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300017  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300018  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300019  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300020  ,STEEL DOUBLE DECK                                           ,5500   ,10/01/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300021  ,STEEL DOUBLE DECK                                           ,5500   ,11/26/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300022  ,STEEL DOUBLE DECK                                           ,5500   ,11/26/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300023  ,STEEL DOUBLE DECK                                           ,5500   ,11/26/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300024  ,STEEL DOUBLE DECK                                           ,5500   ,11/26/2010,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300025  ,STEEL DOUBLE DECK                                           ,5500   ,03/30/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300026  ,STEEL DOUBLE DECK                                           ,5500   ,03/30/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300027  ,STEEL DOUBLE DECK                                           ,5500   ,04/01/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
0116-0000952300028  ,STEEL DOUBLE DECK                                           ,5500   ,04/01/2011,BED                                               ,MFI-BREEDER SUBAYON BILAR     ,BSB-SUBAYON ADMIN                                 
