barcode,desc,acost,adate,cat_type,locname,dept
0079-0011460600001  ,YANMAR EXCAVATOR VIO17 ENG:W8750                            ,13750,05/23/2025,VEHICLE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011397600001  ,TOSHIBA WM VH H140WPH 13KG TT                               ,11870,05/27/2025,WASHING MACHINE                                   ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0002541300004  ,USHOWCASE FUJIDENZO SU140A                                  ,24553,05/27/2025,FREEZER/CHILLER                                   ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0010302900001  ,NUTEX HANGING SCALE 10KLS CAPACITY                          ,3950 ,05/28/2025,WEIGHING SCALE                                    ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0010302900002  ,NUTEX HANGING SCALE 10KLS CAPACITY                          ,3950 ,05/28/2025,WEIGHING SCALE                                    ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
FAD-0110-00109777000,NEMA-1 LPP-ADMIN                                            ,4912.,05/14/2025,PANEL BOARD                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000031  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000032  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000033  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000034  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000035  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000036  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000037  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000038  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000039  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000040  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000041  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000042  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000043  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000044  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000045  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007067000046  ,STEEL LOCKER CABINET(STANDARD) 32 DOORS 8""X8""               ,14732,06/23/2025,LOCKER                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
