barcode,desc,acost,adate,cat_type,locname,dept
0117-0010106300001  ,MCCB SCHNEIDER EASYPACT 250AT @250 EZC250F                  ,6727.,07/03/2024,CIRCUIT BREAKER                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007188000001  ,HANNA FREE CHLORINE CHECKER HC                              ,5700 ,07/03/2024,TEST KIT                                          ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100001  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100002  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100003  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100004  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100005  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100006  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100007  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100008  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100009  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100010  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100011  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100012  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100013  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100014  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010000100015  ,WASSERNISSON SINGLE POINT WATER HEATER 4.5                  ,4114.,07/29/2024,HEATER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0008974300001  ,HONDA XRM125 DS PL#:G480KT                                  ,75000,07/20/2023,VEHICLE                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800001  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800002  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800003  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800004  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800005  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007815800006  ,KNAPSACK SPRAYER                                            ,2416.,08/15/2024,SPRAYER                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0000560600001  ,LA GERMANIA E. STOVE                                        ,2496.,10/15/2024,STOVE                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0008327400001  ,FLUKE 376 TRUE RMS                                          ,38244,01/23/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011182500001  ,KUTAI AUTOMATIC VOLTAGE REGULATOR ADVR-16 63VDC             ,23100,01/24/2025,OTHERS                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0010185300001  ,ELECTRIC PUMP + JOKEY PUMP + CONTROL PANEL                  ,24067,01/21/2025,PUMP                                              ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
