barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0076-0007859400001  ,SCHIEDER CIRCUIT BREAKER 60AMPS3 PHASEMCCB                  ,      3723.21,09/01/2022,ELEC. INTS. & EQPT. ,ELECTRICAL PARTS                                  ,         3,ROSE EN HONEY FOODLINE INC.   ,ASCM-GREENWICH                                    ,FAACQ               
0076-0007859500001  ,SCHIEDER CIRCUIT BREAKER 63AMPS3 PHASE W/ENCL               ,      1607.14,09/01/2022,ELEC. INTS. & EQPT. ,ELECTRICAL PARTS                                  ,         3,ROSE EN HONEY FOODLINE INC.   ,ASCM-GREENWICH                                    ,FAACQ               
0026-0005396000001  ,ISUZU 6W VACUUM TRUCK                                       ,    728600.00,06/11/2019,TRNS. EQPT.         ,VEHICLE                                           ,        10,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FA_TRAN             
0078-0000015200001  ,IDEAL UPS BLK 650VA 5106C                                   ,      1950.00,10/08/2022,OFF. EQPT.          ,UPS                                               ,         5,CRUST & PEPPER FOODLANE INC.  ,ASCM-JOLLIBEE                                     ,FAACQ               
0078-0007480300001  ,AVR NSR-7K%VT/64                                            ,     34199.00,10/01/2022,OFF. EQPT.          ,AVR                                               ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-GREENWICH                                     ,FAACQ               
0076-0005673000001  ,BURNER C40                                                  ,      2232.14,12/02/2022,STR. EQPT.          ,BURNER                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0005673000002  ,BURNER C40                                                  ,      2232.14,12/02/2022,STR. EQPT.          ,BURNER                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0005673000003  ,BURNER C40                                                  ,      2232.14,12/02/2022,STR. EQPT.          ,BURNER                                            ,         5,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0007024100001  ,CURRENT TRANSFORMER 250:5 SPLIT TYPE                        ,      2152.80,02/27/2023,STR. EQPT.          ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
0076-0007024100002  ,CURRENT TRANSFORMER 250:5 SPLIT TYPE                        ,      2152.80,02/27/2023,STR. EQPT.          ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FAACQ               
