barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0012-0012290400024  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400025  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400026  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400027  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400028  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400029  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400030  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400031  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400032  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400033  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400034  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400035  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400036  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400037  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400038  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290400039  ,DOME TYPE IP CAMERA (DS-2CD2143G2-IU(2.8MM)                 ,      3856.24,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600001  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600002  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600003  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600004  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600005  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600006  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600007  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600008  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290600009  ,BULLET TYPE IP CAMERA (DS-2CD2047G2-LU(2.8MM)               ,      5666.20,09/17/2025,OFF. EQPT.          ,CAMERA                                            ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290700001  ,NVR 32 CHANNELS (DS-7732NXI-K4)                             ,     20287.17,09/17/2025,OFF. EQPT.          ,RECORDER                                          ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012290700002  ,NVR 32 CHANNELS (DS-7732NXI-K4)                             ,     20287.17,09/17/2025,OFF. EQPT.          ,RECORDER                                          ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0012-0012426400001  ,RIDGID DRAIN ""AUGER"" CLEANING MACHINE                       ,     69553.57,10/25/2025,MACH. & EQPT.       ,MACHINE TOOLS                                     ,         5,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0012-0012758300001  ,STAINLESS FIRE EXTINGUISHES STAND                           ,      6721.65,11/19/2025,FUR. & FIXT.        ,STAND                                             ,         3,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0012-0012758300002  ,STAINLESS FIRE EXTINGUISHES STAND                           ,      6721.65,11/19/2025,FUR. & FIXT.        ,STAND                                             ,         3,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FAACQ               
0012-0012777400001  ,CPU SET INTEL CORE I3 NVME M.2                              ,     16651.79,11/19/2025,OFF. EQPT.          ,COMPUTER                                          ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
