barcode,desc,acost,adate,cat_type,locname,dept,status
0047-0005097400001       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400002       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400003       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400004       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400005       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400006       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400007       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097400008       ,16 TURBO HD/AHD/ANALOG INTERFACE INPUT                      ,      7588.28,04/29/2019,MONITOR                                           ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500001       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500002       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500003       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500004       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500005       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500006       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500007       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097500008       ,4TB WESTERN DIGITAL PURPLE HARD DISK                        ,      7650.48,04/29/2019,HARD DISK                                         ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600001       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600002       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600003       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600004       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600005       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600006       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
0047-0005097600007       ,16 CHANNEL CENTRALIZED POWER SUPPLY                         ,      2776.74,04/29/2019,POWER SUPPLY                                      ,ALTA CITTA                              ,AC-ADMIN                                          ,                    
