barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0120-0001025500042  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500043  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500044  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500045  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500046  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500047  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500048  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500049  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0001025500050  ,LOVE CART 022                                               ,      6491.83,09/25/2023,FUR. & FIXT.        ,CART                                              ,         5,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900001  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900002  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900003  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900004  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900005  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900006  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900007  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900008  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900009  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900010  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900011  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900012  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900013  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900014  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900015  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900016  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900017  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900018  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900019  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900020  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900021  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900022  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900023  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900024  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900025  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900026  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900027  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900028  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900029  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900030  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900031  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900032  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
0120-0008165900033  ,CYBER 83 CART                                               ,      6794.97,09/25/2023,STR. EQPT.          ,CART                                              ,         3,FIXRITE PANGLAO               ,FIXRITE PANGLAO-ADMIN                             ,FAACQ               
