barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0004-0012737500002   ,EPSON 003 INK MAGENTA                                       ,       267.86,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0012737600001   ,EPSON 003 INK YELLOW                                        ,       267.86,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0004-0012737600002   ,EPSON 003 INK YELLOW                                        ,       267.86,04/06/2026,                    ,SUPPLIES                                          ,         0,COLONNADE COLON               ,COLC-SEACOM WAREHOUSE                             ,FAACQ               
FAD-0049-0006474400001   ,VACUUM CLEANER LOTUS                                        ,      2210.71,05/15/2026,STR. EQPT.          ,VACUUM                                            ,         3,CEBO COMMISSARY               ,CEBO COMMISSARY COMPOUND                          ,FAACQ               
FAD-0004-0012512700001   ,CIRCULAR SAW BOSCH GKS 140 06016B30K1 COC                   ,      4397.32,03/24/2026,TOOLS               ,TOOLS                                             ,         3,COLONNADE COLON               ,COLC-ENGINEERING DEPT.                            ,FAACQ               
FAD-0004-0011554500005   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,     29816.96,03/02/2026,OFF. EQPT.          ,OTHERS                                            ,         5,COLONNADE COLON               ,COLC-BAKESHOP                                     ,FAACQ               
FAD-0004-0010254500001   ,ZYCOO PHONES                                                ,      3225.00,03/27/2026,OFF. EQPT.          ,CELLPHONE                                         ,         3,COLONNADE COLON               ,COLC-GROCERY                                      ,FAACQ               
FAD-0004-0008580100001   ,ACER K202HQL 19.5"" LED MONITOR                              ,      3214.29,03/27/2026,OFF. EQPT.          ,MONITOR                                           ,         3,COLONNADE COLON               ,COLC-FRESH MARKET DEPT.                           ,FAACQ               
FAD-0004-0003207700006   ,PRINTER EPSON LQ-310                                        ,     14281.25,04/10/2026,OFF. EQPT.          ,PRINTER                                           ,         3,COLONNADE COLON               ,COLC-PURCHASING DEPT.                             ,FAACQ               
FAD-0004-0005696700001   ,MONITOR LED AOC 21.5"" 22B1H W/ HDMI                         ,      3482.14,04/16/2026,OFF. EQPT.          ,MONITOR                                           ,         3,COLONNADE COLON               ,COLC-FRESH MARKET DEPT.                           ,FAACQ               
FAD-0004-0011554500006   ,ASUS PRIME H610M-R (P.S) D4 MOTHERBOARD                     ,     31691.97,04/16/2026,OFF. EQPT.          ,OTHERS                                            ,         5,COLONNADE COLON               ,COLC-FRESH MARKET DEPT.                           ,FAACQ               
