barcode,desc,acost,adate,cat_type,locname,dept,status
0112-0008477200009  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200010  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200011  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200012  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200013  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200014  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200015  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200016  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200017  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200018  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200019  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200020  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200021  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200022  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200023  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200024  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200025  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200026  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200027  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200028  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200029  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200030  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200031  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200032  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200033  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200034  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200035  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200036  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200037  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200038  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200039  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200040  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200041  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200042  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200043  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200044  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200045  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200046  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200047  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200048  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200049  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200050  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200051  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200052  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
0112-0008477200053  ,CB-65L PLASTIC COOLER BOX W/ COVER BLUE                     ,      1607.14,05/17/2023,COOLER                                            ,MARCELA ICE PLANT             ,MIP-PRODUCTION                                    ,FAACQ               
