barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
FAD-0001-0007699100001   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE PUMP                      ,     33035.71,08/18/2026,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010096200001   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE/SLUDGE PUMP               ,    111607.15,07/08/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010096200002   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE/SLUDGE PUMP               ,    111607.15,07/08/2024,MACH. & EQPT.       ,PUMP                                              ,         5,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0010118700001   ,K-60SP-SE SECTIONAL MACHINE 1 1/14"" TO 4""                   ,    129464.29,07/08/2024,MACH. & EQPT.       ,MACH. & EQUIPMENT                                 ,         3,ISLAND CITY MALL              ,ICM-MALL ADMIN                                    ,FAACQ               
FAD-0001-0009937400001   ,DIGITAL SIGNAGE KIOSK TOUCH SCREEN                          ,     89285.72,07/08/2024,FUR. & FIXT.        ,SIGNAGE                                           ,         3,ISLAND CITY MALL              ,ICM-LEASING DEPARTMENT                            ,FAACQ               
FAD-0001-0009937500001   ,DIGITAL SIGNAGE KIOSK NON TOUCH                             ,     89285.72,07/08/2024,FUR. & FIXT.        ,SIGNAGE                                           ,         3,ISLAND CITY MALL              ,ICM-LEASING DEPARTMENT                            ,FAACQ               
FAD-0001-0010012100001   ,KAWASAKI POWER SPRAYER                                      ,      7142.86,07/08/2024,MACH. & EQPT.       ,SPRAYER                                           ,         2,ISLAND CITY MALL              ,ICM-FRESHMARKET                                   ,FAACQ               
FAD-0001-0006626500003   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500004   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500005   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500006   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500007   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600004   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600005   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/15/2024,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-MEDICINE + PHARMACY                           ,FA_TRAN             
FAD-0001-0007952600006   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500001   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500002   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500003   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500004   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500005   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900001   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/15/2024,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-MEDICINE + PHARMACY                           ,FA_TRAN             
FAD-0001-0009148900002   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900003   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009148900004   ,APSOFT CASH DRAWER RJ11 CABLE                               ,      2678.57,08/18/2026,STR. EQPT.          ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500008   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500009   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500010   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500011   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0006626500012   ,PRINTER EPSON TM-H6000V USB THERMAL POS PRINTER             ,     20535.71,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600007   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600008   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600009   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600010   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600011   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600012   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0007952600013   ,APSOFT 78-KEYS PROGRAMABLE POS KEYBOARD USB                 ,      4464.29,08/18/2026,STR. EQPT.          ,POS KEYBOARD                                      ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500006   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500007   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500008   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500009   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500010   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500011   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500012   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500013   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008703500014   ,ZEBRA HANDHELD SCANNER DS2208 2D USB                        ,      4464.29,08/18/2026,OFF. EQPT.          ,SCANNER                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009127100001   ,15"" TFT DISPLAY MONITOR                                     ,      5803.57,08/18/2026,OFF. EQPT.          ,MONITOR                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0009127100002   ,15"" TFT DISPLAY MONITOR                                     ,      5803.57,08/18/2026,OFF. EQPT.          ,MONITOR                                           ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0008970600009   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0008970600010   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0008970600011   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0008970600012   ,APSOFT CASH DRAWER RJ11 CABLE 5 BILLS DIVIDER               ,      3125.00,08/18/2026,FUR. & FIXT.        ,CASH DRAWER                                       ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0010468500001   ,SM-50 SPIRAL MIXER 1-BAGGER (DOUGH MIXER)                   ,    291964.29,08/18/2026,STR. EQPT.          ,MIXER                                             ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0008174000001   ,EPSON TM-H6000V USB THERMAL PRINTER                         ,     20535.72,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0008174000002   ,EPSON TM-H6000V USB THERMAL PRINTER                         ,     20535.72,08/18/2026,STR. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-BREAD COTTAGE                                 ,FAACQ               
FAD-0001-0009101200001   ,TCL ANDROID 40S5401A                                        ,     11250.00,08/18/2026,OFF. EQPT.          ,TV                                                ,         3,ISLAND CITY MALL              ,ICM-GROCERY CHECK OUT COUNTER                     ,FAACQ               
FAD-0001-0010679800001   ,ZEBRA PRINTER                                               ,     43750.00,08/18/2026,OFF. EQPT.          ,PRINTER                                           ,         3,ISLAND CITY MALL              ,ICM-FRESHMARKET                                   ,FAACQ               
FAD-0001-0009846400001   ,LITHIUM ION BATTERY 51.2 VOLTS/350 AH                       ,    533610.72,08/18/2026,FUR. & FIXT.        ,BATTERY                                           ,         5,ISLAND CITY MALL              ,ICM-RECEIVING STOCKROOM                           ,FAACQ               
FAD-0001-0009846800001   ,LITHIUM ION BATTERY CHARGER                                 ,    120660.71,08/18/2026,FUR. & FIXT.        ,BATTERY CHARGER                                   ,         5,ISLAND CITY MALL              ,ICM-RECEIVING STOCKROOM                           ,FAACQ               
FAD-0001-0006200400001   ,BERLIN HAND PALLET TRUCK 3 TONS                             ,     14285.72,08/18/2026,MACH. & EQPT.       ,PALLET TRUCK                                      ,         4,ISLAND CITY MALL              ,ICM-RECEIVING STOCKROOM                           ,FAACQ               
